Location,Household Type,TimeFrame,DataFormat,Data,Fips
Riverdale,All Households,2005,Dollars,66429.87643,208
Williamsbridge,All Households,2005,Dollars,54603.07992,212
Throgs Neck,All Households,2005,Dollars,60436.77167,210
Pelham Parkway,All Households,2005,Dollars,55273.71398,211
Morrisania,All Households,2005,Dollars,25750.6987,203
East Tremont,All Households,2005,Dollars,25750.6987,206
Bedford Park,All Households,2005,Dollars,40150.09143,207
University Heights,All Households,2005,Dollars,26635.71578,205
Concourse/Highbridge,All Households,2005,Dollars,28529.43244,204
Unionport/Soundview,All Households,2005,Dollars,46589.82748,209
Mott Haven,All Households,2005,Dollars,19097.95388,201
Hunts Point,All Households,2005,Dollars,19097.95388,202
Washington Heights,All Households,2005,Dollars,43661.30048,112
Manhattanville,All Households,2005,Dollars,38429.53029,109
Central Harlem,All Households,2005,Dollars,36766.68764,110
East Harlem,All Households,2005,Dollars,37012.67842,111
Upper East Side,All Households,2005,Dollars,113805.775,108
Upper West Side,All Households,2005,Dollars,115581.3061,107
Chelsea/Clinton,All Households,2005,Dollars,97000.0703,104
Midtown Business District,All Households,2005,Dollars,97000.0703,105
Murray Hill/Stuyvesant,All Households,2005,Dollars,118368.2854,106
Lower East Side,All Households,2005,Dollars,44050.21327,103
Battery Park/Tribeca,All Households,2005,Dollars,127748.9167,101
Greenwich Village,All Households,2005,Dollars,127748.9167,102
Tottenville,All Households,2005,Dollars,110392.1377,503
South Beach,All Households,2005,Dollars,81767.88199,502
St. George,All Households,2005,Dollars,71133.93458,501
Williamsburg/Greenpoint,All Households,2005,Dollars,41852.78733,301
Bushwick,All Households,2005,Dollars,35065.366,304
Bedford Stuyvesant,All Households,2005,Dollars,42332.40062,303
Fort Greene/Brooklyn Hts,All Households,2005,Dollars,70247.54326,302
Park Slope,All Households,2005,Dollars,97361.49808,306
Crown Heights North,All Households,2005,Dollars,41713.98807,308
Brownsville,All Households,2005,Dollars,30500.10711,316
East New York,All Households,2005,Dollars,42431.34663,305
Canarsie,All Households,2005,Dollars,72139.88567,318
East Flatbush,All Households,2005,Dollars,57445.02916,317
Crown Heights South,All Households,2005,Dollars,51090.49662,309
Sunset Park,All Households,2005,Dollars,52007.12145,307
Bay Ridge,All Households,2005,Dollars,66792.67846,310
Borough Park,All Households,2005,Dollars,44892.62859,312
Flatbush/Midwood,All Households,2005,Dollars,51296.63414,314
Sheepshead Bay,All Households,2005,Dollars,56546.26959,315
Bensonhurst,All Households,2005,Dollars,55122.54646,311
Coney Island,All Households,2005,Dollars,34776.77347,313
Astoria,All Households,2005,Dollars,51783.11868,401
Jackson Heights,All Households,2005,Dollars,56549.01809,403
Flushing,All Households,2005,Dollars,67537.52203,407
Bayside,All Households,2005,Dollars,90953.36978,411
Queens Village,All Households,2005,Dollars,92814.10444,413
Fresh Meadows/Briarwood,All Households,2005,Dollars,65914.53264,408
Elmhurst/Corona,All Households,2005,Dollars,56451.44633,404
Rego Park/Forest Hills,All Households,2005,Dollars,71877.4039,406
Sunnyside/Woodside,All Households,2005,Dollars,56550.39234,402
Ridgewood/Glendale,All Households,2005,Dollars,66023.0984,405
Woodhaven,All Households,2005,Dollars,63615.41219,409
Jamaica/St. Albans,All Households,2005,Dollars,63776.19945,412
Howard Beach,All Households,2005,Dollars,71078.96458,410
The Rockaways,All Households,2005,Dollars,61984.1773,414
Bronx,All Households,2005,Dollars,40166.58244,36005
Brooklyn,All Households,2005,Dollars,51303.50539,36047
Manhattan,All Households,2005,Dollars,76920.90183,36061
Queens,All Households,2005,Dollars,66091.8109,36081
Staten Island,All Households,2005,Dollars,86609.36516,36085
New York City,All Households,2005,Dollars,59689.17961,3651000
Riverdale,Families,2005,Dollars,69040.95165,208
Williamsbridge,Families,2005,Dollars,61455.09101,212
Throgs Neck,Families,2005,Dollars,74706.98489,210
Pelham Parkway,Families,2005,Dollars,67016.68123,211
Morrisania,Families,2005,Dollars,30208.76608,203
East Tremont,Families,2005,Dollars,30208.76608,206
Bedford Park,Families,2005,Dollars,41746.97007,207
University Heights,Families,2005,Dollars,33663.63088,205
Concourse/Highbridge,Families,2005,Dollars,33736.46614,204
Unionport/Soundview,Families,2005,Dollars,52178.90271,209
Mott Haven,Families,2005,Dollars,22965.09371,201
Hunts Point,Families,2005,Dollars,22965.09371,202
Washington Heights,Families,2005,Dollars,42644.3554,112
Manhattanville,Families,2005,Dollars,44041.96777,109
Central Harlem,Families,2005,Dollars,42596.25664,110
East Harlem,Families,2005,Dollars,41841.79333,111
Upper East Side,Families,2005,Dollars,215878.2025,108
Upper West Side,Families,2005,Dollars,215107.2482,107
Chelsea/Clinton,Families,2005,Dollars,133075.5101,104
Midtown Business District,Families,2005,Dollars,133075.5101,105
Murray Hill/Stuyvesant,Families,2005,Dollars,194127.9459,106
Lower East Side,Families,2005,Dollars,44046.09052,103
Battery Park/Tribeca,Families,2005,Dollars,184225.0995,101
Greenwich Village,Families,2005,Dollars,184225.0995,102
Tottenville,Families,2005,Dollars,118566.1774,503
South Beach,Families,2005,Dollars,90876.41177,502
St. George,Families,2005,Dollars,86054.16811,501
Williamsburg/Greenpoint,Families,2005,Dollars,45938.43293,301
Bushwick,Families,2005,Dollars,38803.32632,304
Bedford Stuyvesant,Families,2005,Dollars,45997.52568,303
Fort Greene/Brooklyn Hts,Families,2005,Dollars,97173.22581,302
Park Slope,Families,2005,Dollars,128158.4432,306
Crown Heights North,Families,2005,Dollars,47825.27834,308
Brownsville,Families,2005,Dollars,34493.67795,316
East New York,Families,2005,Dollars,51200.43663,305
Canarsie,Families,2005,Dollars,84439.42422,318
East Flatbush,Families,2005,Dollars,67008.43573,317
Crown Heights South,Families,2005,Dollars,56434.95533,309
Sunset Park,Families,2005,Dollars,47790.92209,307
Bay Ridge,Families,2005,Dollars,83680.83816,310
Borough Park,Families,2005,Dollars,52228.37572,312
Flatbush/Midwood,Families,2005,Dollars,62351.10208,314
Sheepshead Bay,Families,2005,Dollars,69820.15147,315
Bensonhurst,Families,2005,Dollars,63534.33143,311
Coney Island,Families,2005,Dollars,52545.82749,313
Astoria,Families,2005,Dollars,56969.53862,401
Jackson Heights,Families,2005,Dollars,60545.33743,403
Flushing,Families,2005,Dollars,79433.03104,407
Bayside,Families,2005,Dollars,105553.403,411
Queens Village,Families,2005,Dollars,104904.757,413
Fresh Meadows/Briarwood,Families,2005,Dollars,82784.82708,408
Elmhurst/Corona,Families,2005,Dollars,60089.08639,404
Rego Park/Forest Hills,Families,2005,Dollars,90842.05552,406
Sunnyside/Woodside,Families,2005,Dollars,63778.94795,402
Ridgewood/Glendale,Families,2005,Dollars,70522.39328,405
Woodhaven,Families,2005,Dollars,77213.6171,409
Jamaica/St. Albans,Families,2005,Dollars,73603.46205,412
Howard Beach,Families,2005,Dollars,83334.52713,410
The Rockaways,Families,2005,Dollars,72568.65171,414
Bronx,Families,2005,Dollars,45982.40893,36005
Brooklyn,Families,2005,Dollars,59543.50909,36047
Manhattan,Families,2005,Dollars,89984.52345,36061
Queens,Families,2005,Dollars,75750.04073,36081
Staten Island,Families,2005,Dollars,98065.11414,36085
