stop_id,Delay Count,Stop Name,Borough,GTFS Longitude,GTFS Latitude,branch
G14,34111,Jackson Hts-Roosevelt Av,Q,-73.891338,40.746644,['A/C/E' 'B/D/F/M' 'N/Q/R']
A24,29538,59 St-Columbus Circle,M,-73.981736,40.768296,['A/C/E' 'B/D/F/M']
G08,26348,Forest Hills-71 Av,Q,-73.844521,40.721691,['A/C/E' 'B/D/F/M' 'N/Q/R']
A41,24153,Jay St-MetroTech,Bk,-73.987342,40.692338,['A/C/E' 'B/D/F/M']
A15,23938,125 St,M,-73.952343,40.811109,['A/C/E' 'B/D/F/M']
D20,22830,W 4 St-Wash Sq,M,-74.000495,40.732338,['B/D/F/M']
R30,20995,DeKalb Av,Bk,-73.981824,40.690635,['N/Q/R' 'B/D/F/M']
A42,20544,Hoyt-Schermerhorn Sts,Bk,-73.985001,40.688484,['A/C/E' 'G']
A34,18754,Canal St,M,-74.005229,40.720824,['A/C/E']
A32,18013,W 4 St-Wash Sq,M,-74.000495,40.732338,['A/C/E']
D21,17378,Broadway-Lafayette St,M,-73.996204,40.725297,['B/D/F/M']
G21,16751,Queens Plaza,Q,-73.937243,40.748973,['A/C/E' 'N/Q/R' 'B/D/F/M']
A31,16084,14 St,M,-74.00169,40.740893,['A/C/E']
A51,15953,Broadway Junction,Bk,-73.905316,40.678334,['A/C/E']
R31,15950,Atlantic Av-Barclays Ctr,Bk,-73.97881,40.683666,['B/D/F/M' 'N/Q/R']
M16,15750,Marcy Av,Bk,-73.957757,40.708359,['B/D/F/M' 'J/Z']
D15,15617,47-50 Sts-Rockefeller Ctr,M,-73.981329,40.758663,['B/D/F/M']
A27,15313,42 St-Port Authority Bus Terminal,M,-73.989735,40.757308,['A/C/E']
A40,15281,High St,Bk,-73.990531,40.699337,['A/C/E']
F26,15159,Fort Hamilton Pkwy,Bk,-73.975776,40.650782,['B/D/F/M' 'G']
F20,14879,Bergen St,Bk,-73.990862,40.686145,['B/D/F/M' 'G']
D17,14778,34 St-Herald Sq,M,-73.987823,40.749719,['B/D/F/M']
F25,14247,15 St-Prospect Park,Bk,-73.979493,40.660365,['B/D/F/M' 'G']
A28,13714,34 St-Penn Station,M,-73.993391,40.752287,['A/C/E']
A48,13601,Utica Av,Bk,-73.930729,40.679364,['A/C/E']
R36,13427,36 St,Bk,-74.003549,40.655144,['B/D/F/M' 'N/Q/R']
A12,13244,145 St,M,-73.944216,40.824783,['A/C/E' 'B/D/F/M']
B08,13002,Lexington Av/63 St,M,-73.966113,40.764629,['B/D/F/M' 'N/Q/R']
A38,12971,Fulton St,M,-74.007691,40.710197,['A/C/E']
702,12736,Mets-Willets Point,Q,-73.845625,40.754622,['7']
R14,12463,57 St-7 Av,M,-73.980658,40.764664,['N/Q/R']
A55,12457,Euclid Av,Bk,-73.872106,40.675377,['A/C/E']
M18,12446,Delancey St-Essex St,M,-73.987437,40.718315,['B/D/F/M' 'J/Z']
A46,12293,Nostrand Av,Bk,-73.950426,40.680438,['A/C/E']
F27,12232,Church Av,Bk,-73.979678,40.644041,['B/D/F/M' 'G']
F24,12092,7 Av,Bk,-73.980305,40.666271,['B/D/F/M' 'G']
Q01,11811,Canal St,M,-74.00046,40.718383,['N/Q/R']
725,11206,Times Sq-42 St,M,-73.987691,40.755477,['7']
F21,11053,Carroll St,Bk,-73.995048,40.680303,['B/D/F/M' 'G']
F23,10924,4 Av-9 St,Bk,-73.989779,40.670272,['B/D/F/M' 'G']
R20,10869,14 St-Union Sq,M,-73.990568,40.735736,['N/Q/R']
F06,10850,Kew Gardens-Union Tpke,Q,-73.831008,40.714441,['A/C/E' 'B/D/F/M']
D16,10692,42 St-Bryant Pk,M,-73.984569,40.754222,['B/D/F/M']
L28,10433,East 105 St,Bk,-73.899485,40.650573,['L']
B04,10246,21 St-Queensbridge,Q,-73.942836,40.754203,['B/D/F/M']
