Stop Name,Total Delay Time
W 4 St-Wash Sq,225 days 18:42:06
Canal St,206 days 03:47:37
Jackson Hts-Roosevelt Av,184 days 03:56:56
59 St-Columbus Circle,172 days 09:20:26
125 St,162 days 22:22:40
Jay St-MetroTech,159 days 00:13:57
14 St,152 days 14:26:36
7 Av,146 days 12:19:35
Broadway Junction,141 days 04:46:15
Forest Hills-71 Av,135 days 23:45:27
34 St-Herald Sq,132 days 12:13:20
Atlantic Av-Barclays Ctr,123 days 16:01:48
DeKalb Av,122 days 19:06:08
Church Av,115 days 10:37:57
Times Sq-42 St,115 days 07:12:24
145 St,112 days 09:38:06
Kings Hwy,101 days 19:51:19
Fulton St,100 days 18:51:24
36 St,100 days 10:26:15
Hoyt-Schermerhorn Sts,100 days 06:41:15
Fort Hamilton Pkwy,98 days 23:01:29
23 St,94 days 10:01:53
Delancey St-Essex St,90 days 14:21:06
Broadway-Lafayette St,88 days 04:59:18
42 St-Port Authority Bus Terminal,86 days 07:46:48
34 St-Penn Station,84 days 05:50:07
15 St-Prospect Park,83 days 19:27:38
47-50 Sts-Rockefeller Ctr,81 days 22:44:41
14 St-Union Sq,81 days 00:51:02
Bergen St,80 days 08:44:38
Queens Plaza,79 days 16:10:46
Chambers St,78 days 16:15:02
High St,77 days 09:37:24
Kew Gardens-Union Tpke,76 days 09:56:38
86 St,75 days 16:31:17
Utica Av,74 days 21:15:36
4 Av-9 St,73 days 14:42:27
Lexington Av/63 St,73 days 09:46:07
Nostrand Av,70 days 04:36:02
Euclid Av,70 days 02:14:00
57 St-7 Av,69 days 01:14:11
Marcy Av,67 days 20:32:48
Mets-Willets Point,67 days 09:24:53
111 St,61 days 05:05:51
21 St-Queensbridge,60 days 22:30:57
Bay Pkwy,60 days 10:10:51
Queensboro Plaza,60 days 04:38:24
Carroll St,59 days 18:12:54
42 St-Bryant Pk,56 days 18:33:35
Broad Channel,56 days 13:51:29
Rockaway Blvd,56 days 08:26:11
59 St,56 days 00:39:09
Vernon Blvd-Jackson Av,55 days 17:45:37
Smith-9 Sts,54 days 17:19:49
168 St,54 days 14:53:41
East Broadway,54 days 06:57:46
Grand Central-42 St,52 days 13:34:00
18 Av,51 days 18:55:36
75 Av,51 days 00:46:54
Sutphin Blvd-Archer Av-JFK Airport,50 days 16:54:31
Ditmas Av,50 days 16:49:15
W 8 St-NY Aquarium,50 days 10:15:39
Avenue P,50 days 07:07:29
Spring St,50 days 07:03:54
50 St,50 days 01:13:07
Coney Island-Stillwell Av,49 days 19:09:47
67 Av,49 days 06:19:34
